voltage,current,time,date
4181,0192,13:40:20,26/02/25
4183,0191,13:40:30,26/02/25
4181,0191,13:40:40,26/02/25
4181,0191,13:40:50,26/02/25
4184,0192,13:41:00,26/02/25
4181,0190,13:41:10,26/02/25
4185,0191,13:41:20,26/02/25
4183,0191,13:41:30,26/02/25
4181,0189,13:41:40,26/02/25
4183,0190,13:41:50,26/02/25
4184,0190,13:42:00,26/02/25
4181,0189,13:42:10,26/02/25
4182,0189,13:42:20,26/02/25
4183,0189,13:42:30,26/02/25
4182,0189,13:42:40,26/02/25
4185,0189,13:42:50,26/02/25
4184,0189,13:43:00,26/02/25
4183,0188,13:43:10,26/02/25
4184,0189,13:43:20,26/02/25
4184,0189,13:43:30,26/02/25
4184,0187,13:43:40,26/02/25
4183,0187,13:43:50,26/02/25
4182,0187,13:44:00,26/02/25
4183,0187,13:44:10,26/02/25
4183,0187,13:44:20,26/02/25
4184,0187,13:44:30,26/02/25
4184,0187,13:44:40,26/02/25
4185,0187,13:44:50,26/02/25
4185,0188,13:45:00,26/02/25
4184,0186,13:45:10,26/02/25
4185,0187,13:45:20,26/02/25
4184,0187,13:45:30,26/02/25
4185,0186,13:45:40,26/02/25
4184,0186,13:45:50,26/02/25
4183,0185,13:46:00,26/02/25
4183,0185,13:46:10,26/02/25
4183,0185,13:46:20,26/02/25
4185,0185,13:46:30,26/02/25
4183,0185,13:46:40,26/02/25
4183,0184,13:46:50,26/02/25
4184,0184,13:47:00,26/02/25
4185,0184,13:47:10,26/02/25
4185,0184,13:47:20,26/02/25
4183,0182,13:47:30,26/02/25
4183,0182,13:47:40,26/02/25
4186,0182,13:47:50,26/02/25
4183,0181,13:48:00,26/02/25
4184,0181,13:48:10,26/02/25
4184,0181,13:48:20,26/02/25
4183,0181,13:48:30,26/02/25
4183,0181,13:48:40,26/02/25
4187,0181,13:48:50,26/02/25
4184,0179,13:49:00,26/02/25
4184,0181,13:49:10,26/02/25
4183,0180,13:49:20,26/02/25
4181,0179,13:49:30,26/02/25
4182,0179,13:49:40,26/02/25
4183,0179,13:49:50,26/02/25
4183,0178,13:50:00,26/02/25
4184,0179,13:50:10,26/02/25
4186,0179,13:50:20,26/02/25
4184,0178,13:50:30,26/02/25
4184,0177,13:50:40,26/02/25
4185,0177,13:50:50,26/02/25
4184,0178,13:51:00,26/02/25
4187,0178,13:51:10,26/02/25
4184,0176,13:51:20,26/02/25
4186,0178,13:51:30,26/02/25
4183,0177,13:51:40,26/02/25
4182,0174,13:51:50,26/02/25
4182,0177,13:52:00,26/02/25
4185,0177,13:52:10,26/02/25
4182,0175,13:52:20,26/02/25
4184,0175,13:52:30,26/02/25
4184,0174,13:52:40,26/02/25
4184,0176,13:52:50,26/02/25
4184,0174,13:53:00,26/02/25
4183,0173,13:53:10,26/02/25
4184,0174,13:53:20,26/02/25
4185,0175,13:53:30,26/02/25
4182,0173,13:53:40,26/02/25
4185,0173,13:53:50,26/02/25
4186,0173,13:54:00,26/02/25
4183,0172,13:54:10,26/02/25
4183,0172,13:54:20,26/02/25
4181,0173,13:54:30,26/02/25
4182,0172,13:54:40,26/02/25
4184,0172,13:54:50,26/02/25
4182,0172,13:55:00,26/02/25
4182,0172,13:55:10,26/02/25
4183,0171,13:55:20,26/02/25
4186,0172,13:55:30,26/02/25
4185,0171,13:55:40,26/02/25
4183,0171,13:55:50,26/02/25
4183,0171,13:56:00,26/02/25
4184,0170,13:56:10,26/02/25
4186,0170,13:56:20,26/02/25
4182,0170,13:56:30,26/02/25
4183,0170,13:56:40,26/02/25
4185,0170,13:56:50,26/02/25
4183,0169,13:57:00,26/02/25
4183,0168,13:57:10,26/02/25
4184,0169,13:57:20,26/02/25
4183,0168,13:57:30,26/02/25
4183,0169,13:57:40,26/02/25
4181,0168,13:57:50,26/02/25
4182,0167,13:58:00,26/02/25
4182,0167,13:58:10,26/02/25
4184,0166,13:58:20,26/02/25
4186,0168,13:58:30,26/02/25
4183,0166,13:58:40,26/02/25
4183,0166,13:58:50,26/02/25
4183,0167,13:59:00,26/02/25
4183,0166,13:59:10,26/02/25
4182,0166,13:59:20,26/02/25
4184,0167,13:59:30,26/02/25
4183,0165,13:59:40,26/02/25
4185,0167,13:59:50,26/02/25
4185,0165,14:00:00,26/02/25
4182,0165,14:00:10,26/02/25
4184,0165,14:00:20,26/02/25
4184,0166,14:00:30,26/02/25
4182,0166,14:00:40,26/02/25
4182,0164,14:00:50,26/02/25
4183,0163,14:01:00,26/02/25
4183,0165,14:01:10,26/02/25
4185,0164,14:01:20,26/02/25
4185,0164,14:01:30,26/02/25
4184,0164,14:01:40,26/02/25
4186,0163,14:01:50,26/02/25
4182,0163,14:02:00,26/02/25
4185,0163,14:02:10,26/02/25
4184,0163,14:02:20,26/02/25
4183,0162,14:02:30,26/02/25
4184,0162,14:02:40,26/02/25
4184,0162,14:02:50,26/02/25
4184,0163,14:03:00,26/02/25
4184,0163,14:03:10,26/02/25
4184,0161,14:03:20,26/02/25
4183,0161,14:03:30,26/02/25
4180,0160,14:03:40,26/02/25
4183,0161,14:03:50,26/02/25
4186,0161,14:04:00,26/02/25
4183,0160,14:04:10,26/02/25
4184,0161,14:04:20,26/02/25
4181,0160,14:04:30,26/02/25
4182,0161,14:04:40,26/02/25
4183,0160,14:04:50,26/02/25
4184,0159,14:05:00,26/02/25
4184,0160,14:05:10,26/02/25
4184,0159,14:05:20,26/02/25
4183,0159,14:05:30,26/02/25
4183,0160,14:05:40,26/02/25
4182,0158,14:05:50,26/02/25
4182,0158,14:06:00,26/02/25
4184,0158,14:06:10,26/02/25
4182,0159,14:06:20,26/02/25
4183,0156,14:06:30,26/02/25
4183,0159,14:06:40,26/02/25
4184,0158,14:06:50,26/02/25
4185,0158,14:07:00,26/02/25
4185,0157,14:07:10,26/02/25
4185,0157,14:07:20,26/02/25
4184,0157,14:07:30,26/02/25
4183,0156,14:07:40,26/02/25
4184,0155,14:07:50,26/02/25
4183,0156,14:08:00,26/02/25
4184,0155,14:08:10,26/02/25
4183,0155,14:08:20,26/02/25
4184,0156,14:08:30,26/02/25
4184,0154,14:08:40,26/02/25
4185,0156,14:08:50,26/02/25
4187,0155,14:09:00,26/02/25
4184,0155,14:09:10,26/02/25
4185,0154,14:09:20,26/02/25
4184,0155,14:09:30,26/02/25
4184,0155,14:09:40,26/02/25
4185,0155,14:09:50,26/02/25
4186,0155,14:10:00,26/02/25
4184,0154,14:10:10,26/02/25
4183,0152,14:10:20,26/02/25
4186,0153,14:10:30,26/02/25
4185,0153,14:10:40,26/02/25
4184,0153,14:10:50,26/02/25
4183,0153,14:11:00,26/02/25
4184,0152,14:11:10,26/02/25
4184,0151,14:11:20,26/02/25
4183,0143,14:11:30,26/02/25
4185,0144,14:11:40,26/02/25
4183,0145,14:11:50,26/02/25
4185,0144,14:12:00,26/02/25
4184,0144,14:12:10,26/02/25
4183,0143,14:12:20,26/02/25
4183,0143,14:12:30,26/02/25
4183,0143,14:12:40,26/02/25
4183,0143,14:12:50,26/02/25
4182,0143,14:13:00,26/02/25
4183,0143,14:13:10,26/02/25
4184,0143,14:13:20,26/02/25
4184,0144,14:13:30,26/02/25
4184,0144,14:13:40,26/02/25
4184,0143,14:13:50,26/02/25
4184,0143,14:14:00,26/02/25
4184,0143,14:14:10,26/02/25
4185,0143,14:14:20,26/02/25
4184,0143,14:14:30,26/02/25
4185,0143,14:14:40,26/02/25
4186,0143,14:14:50,26/02/25
4184,0142,14:15:00,26/02/25
